STAT,182,2017 SPRING,3.52
STAT,201,2020,SPRING,GHOSH P,3.474,503,58,26,9,2,0,0,0,0,0,0
STAT,201,2020,SPRING,HERNANDEZ,2.955,502,29,32,25,1,2,0,2,0,0,0
STAT,201,2020,SPRING,ROITERCHTEIN A,3.140,501,19,27,11,0,0,0,0,0,0,1
STAT,201,2019,FALL,THOMPSON E,3.104,507,32,25,17,2,1,0,2,0,0,0
STAT,201,2019,FALL,RAHMAN S,3.309,506,52,25,12,4,1,0,2,0,0,0
STAT,201,2019,FALL,RAHMAN S,3.213,505,47,29,11,5,2,0,2,0,0,0
STAT,201,2019,FALL,PLUMMER S,3.000,504,41,40,26,6,1,1,4,0,0,0
STAT,201,2019,FALL,MERCHANT N,3.422,503,39,17,6,0,2,0,2,0,0,0
STAT,201,2019,FALL,ALEXANDER B,3.085,502,23,21,12,3,0,0,1,0,0,0
STAT,201,2019,FALL,GHOSH P,3.395,501,58,46,7,3,0,0,2,0,0,0
STAT,201,2019,SPRING,CUMMINGS S,3.081,503,43,28,23,3,2,0,4,0,0,0
STAT,201,2019,SPRING,CUMMINGS S,2.992,502,43,39,31,5,1,0,1,0,0,0
STAT,201,2019,SPRING,PANTOJA K,3.129,501,35,48,16,0,2,0,1,0,0,0
STAT,201,2018,FALL,CUMMINGS S,3.083,503,26,18,12,3,1,0,0,0,0,0
STAT,201,2018,FALL,CUMMINGS S,2.945,502,35,41,30,1,3,0,6,0,0,0
STAT,201,2018,FALL,PANTOJA K,3.237,501,32,38,7,3,0,1,4,0,0,0
STAT,201,2018,SPRING,CUMMINGS S,2.975,505,16,13,7,2,2,0,0,0,0,0
STAT,201,2018,SPRING,CUMMINGS S,3.150,504,20,9,9,1,1,0,0,0,0,0
STAT,201,2018,SPRING,ALMASOUD N,3.037,503,12,6,7,2,0,0,1,0,0,0
STAT,201,2018,SPRING,YI S,3.000,502,7,8,2,1,1,0,2,0,0,0
STAT,201,2018,SPRING,SULTAN M,3.213,501,21,17,7,2,0,0,1,0,0,0
STAT,201,2017,FALL,CUMMINGS S,3.222,502,58,33,21,4,1,1,2,0,0,0
STAT,201,2017,FALL,MANDAL S,3.023,501,31,34,17,3,2,0,0,0,0,0
STAT,201,2017,SPRING,MALLOURE M,2.802,502,30,44,25,9,3,0,6,0,0,0
STAT,201,2017,SPRING,CUMMINGS S,3.051,501,41,30,24,0,4,0,5,0,0,0
STAT,201,2016,FALL,CUMMINGS S,3.234,502,55,24,27,0,1,0,3,0,0,0
STAT,201,2016,FALL,LIANG L,2.961,501,32,40,27,3,1,0,1,0,0,0
STAT,201,2016,SPRING,MANUEL C,2.921,502,26,54,33,1,0,0,3,0,0,0
STAT,201,2016,SPRING,PHILBIN R,2.930,501,28,33,18,5,2,0,2,0,0,0
STAT,201,2015,FALL,PHILBIN R,3.010,502,33,40,21,4,1,1,4,0,0,0
STAT,201,2015,FALL,PEISKEE J,3.465,501,61,28,11,0,1,0,0,0,0,0
STAT,201,2015,SPRING,PHILBIN R,3.000,502,31,47,22,3,1,0,0,0,0,0
STAT,201,2015,SPRING,GODDARD S,2.653,501,16,27,20,6,3,0,0,0,0,0
STAT,211,2015 SPRING,2.594,2.869,2.63,2.633,2.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT,211,2015 SUMMER,3,,,,,2.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT,211,2015 FALL,2.737,,2.656,,,,2.867,2.707,2.775,2.649,2.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT,211,2016 SPRING,2.743,,,,2.754,,,2.663,2.836,,,3.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT,211,2016 SUMMER,2.745,,,,,2.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT,211,2016 FALL,2.876,3.067,3.031,,,,,,2.967,2.868,,,3.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT,211,2017 SPRING,2.736,,3.244,,2.945,,,,,,,3.254,,2.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT,211,2017 SUMMER,3.235,,,,,,,,,,,,,,2.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT,211,2017 FALL,2.917,,,,,,,,2.989,2.918,,,,2.765,,3.246,3.32,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT,211,2018 SPRING,2.882,2.981,,,,,,,,,,3.089,,3.068,,,,,3.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT,211,2018 SUMMER,2.972,,,,,,,,,,,,,,2.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
